date,category,price,volume,returns
2023-01-01,C,85.16,21071.0,-0.012632291050608677
2023-01-02,B,118.49,17761.0,0.04162800329557006
2023-01-03,C,100.69,32802.0,0.000350513521650899
2023-01-04,B,94.34,19576.0,0.021561071307983664
2023-01-05,A,97.88,18894.0,-6.605737982308749e-05
2023-01-06,D,104.46,23210.0,0.0003851233547894036
2023-01-07,,112.34,51446.0,-0.010680586664440155
2023-01-08,C,80.01,11269.0,0.0033824785873255527
2023-01-09,A,79.17,32368.0,0.0073599738882809485
2023-01-10,B,122.09,8547.0,-0.014685170178303598
2023-01-11,A,91.75,24554.0,-0.001500888317197684
2023-01-12,D,71.66,48413.0,-0.011201977321142274
2023-01-13,B,108.88,28122.0,0.046993281392296776
2023-01-14,C,109.27,23988.0,-0.0007946153982323707
2023-01-15,B,69.39,16643.0,0.03190464303393119
2023-01-16,A,104.59,22371.0,-0.002912446616153766
2023-01-17,B,114.71,19418.0,0.00618575283069816
2023-01-18,A,107.49,14868.0,-0.025427281432905385
2023-01-19,C,112.64,19054.0,-0.007941451837357293
2023-01-20,B,71.91,24323.0,0.005210693415784935
2023-01-21,C,106.62,15008.0,0.03272007661919733
2023-01-22,A,93.95,14718.0,0.005439655553525423
2023-01-23,D,90.34,11157.0,0.028674407223859985
2023-01-24,C,117.41,26778.0,0.013814582204058404
2023-01-25,C,129.59,28930.0,0.033548026789293715
2023-01-26,A,135.89,24731.0,-0.0001808443461011086
2023-01-27,B,126.3,35688.0,0.048804454213036086
2023-01-28,A,97.81,23015.0,-0.008707924058282461
2023-01-29,A,107.05,26795.0,-0.014329236683953379
2023-01-30,B,,25640.0,-0.023201056993780684
2023-01-31,C,102.42,21041.0,0.047620493431161405
2023-02-01,D,102.62,16891.0,0.017388951452357953
2023-02-02,A,116.48,66641.0,-0.005682414667606169
2023-02-03,A,98.81,17571.0,0.0259804539374699
2023-02-04,B,85.41,15788.0,0.014753843702355638
2023-02-05,A,91.71,27364.0,0.04032254942751181
2023-02-06,,112.68,24982.0,-0.029956656654798228
2023-02-07,B,100.06,10911.0,-0.004307202166285091
2023-02-08,A,106.8,38612.0,-0.00825042767885651
2023-02-09,B,113.4,21013.0,-0.03847365352817203
2023-02-10,B,92.5,12638.0,
2023-02-11,C,115.12,39910.0,-0.004407931116067168
2023-02-12,C,107.58,30116.0,0.015792624099731246
2023-02-13,A,75.3,11704.0,0.048195438686592235
2023-02-14,C,128.85,53561.0,-0.006064873836552166
2023-02-15,C,89.99,30619.0,-0.007423059653143104
2023-02-16,A,66.9,21914.0,0.0033732833944799204
2023-02-17,A,79.1,48781.0,0.020744947059668194
2023-02-18,B,79.58,23852.0,-0.010334260506202998
2023-02-19,A,101.04,21719.0,
2023-02-20,A,94.52,15832.0,0.02214378540482732
2023-02-21,A,93.26,29464.0,0.008572786476760711
2023-02-22,,112.39,27953.0,-0.039894565260096417
2023-02-23,B,106.8,22188.0,-0.023507835989382164
2023-02-24,C,106.32,14838.0,0.031024717276544208
2023-02-25,C,108.2,23504.0,0.00903856566157625
2023-02-26,B,112.32,21271.0,-0.014243918620744981
2023-02-27,B,57.84,11307.0,-0.0024081931446996428
2023-02-28,A,92.71,10552.0,0.001264733456033404
2023-03-01,A,56.4,29219.0,0.015714667205603276
2023-03-02,B,100.72,5997.0,-0.026165267897175788
2023-03-03,B,99.91,24408.0,-0.015818982773409162
2023-03-04,B,120.91,17343.0,0.006459115097267777
2023-03-05,C,123.75,42366.0,-0.0009966916099090066
2023-03-06,B,104.06,17210.0,0.012437183652734198
2023-03-07,B,89.99,30630.0,-0.023590147947191956
2023-03-08,B,109.7,18061.0,0.008142573525426421
2023-03-09,A,89.44,23315.0,0.022831672387549445
2023-03-10,A,99.97,31838.0,0.010736370942985667
2023-03-11,B,119.72,17478.0,0.0037822347952318376
2023-03-12,,88.84,36253.0,-0.0009176720513194177
2023-03-13,B,116.11,13401.0,-0.015697023055430036
2023-03-14,C,113.55,25522.0,-0.0004399718487957695
2023-03-15,A,80.9,34937.0,0.02619411705760812
2023-03-16,A,119.48,30638.0,-0.0013805701320025046
2023-03-17,A,113.97,57424.0,-0.0167960797869682
2023-03-18,A,102.04,15037.0,-0.008844941775307726
2023-03-19,B,84.75,11052.0,0.005017005945518603
2023-03-20,B,82.82,13397.0,-0.006470279943616939
2023-03-21,C,89.25,30644.0,0.010706065661262813
2023-03-22,B,110.85,28253.0,0.011456875214980608
2023-03-23,B,80.89,23181.0,0.018779663608092963
2023-03-24,C,108.75,12563.0,0.02947118944530066
2023-03-25,A,75.16,32319.0,0.020917174487447218
2023-03-26,A,95.92,11939.0,-0.017684781282959198
2023-03-27,A,102.19,39319.0,-0.017070688931525444
2023-03-28,C,148.9,91924.0,-0.0005154295291964885
2023-03-29,B,72.45,26455.0,-0.008023507144788292
2023-03-30,A,129.44,29482.0,-0.021766534539218854
2023-03-31,B,103.0,17215.0,-0.007833835883459886
2023-04-01,A,108.22,8909.0,-0.00849025867238078
2023-04-02,B,102.37,16295.0,-0.012436954795224116
2023-04-03,B,108.89,12753.0,-0.005315789723100112
2023-04-04,A,96.93,10683.0,0.024569017006366625
2023-04-05,A,129.08,52113.0,0.004984760824984785
2023-04-06,B,90.87,25246.0,0.05043618152110939
2023-04-07,A,,26631.0,0.0044101637203929865
2023-04-08,A,87.11,18873.0,-0.004801315478745035
2023-04-09,A,98.79,,0.0010826576530973218
2023-04-10,D,78.56,35677.0,0.0061298395688708
2023-04-11,D,109.1,21673.0,0.009705079143421273
2023-04-12,B,128.9,28719.0,0.04253422651718047
2023-04-13,A,98.45,19970.0,-0.015906409299551373
2023-04-14,D,96.06,18562.0,0.018180921163554714
2023-04-15,C,77.71,10900.0,0.005155011952282477
2023-04-16,C,95.41,8193.0,-0.03042195485141235
2023-04-17,B,68.14,19326.0,0.016413975641895267
2023-04-18,A,81.74,22657.0,0.0263524712160781
2023-04-19,A,104.54,11578.0,-0.016143528075548596
2023-04-20,D,126.38,21650.0,0.0008213226421605862
