date,category,price,volume,returns,log_price,rolling_return_mean_5,cat_A,cat_B,cat_C,cat_D
2023-01-01,C,85.16,21071,-0.012632291050608677,4.456206032848133,-0.012632291050608677,False,False,True,False
2023-01-02,B,118.49,17761,0.04162800329557006,4.7832326858616625,0.01449785612248069,False,True,False,False
2023-01-03,C,100.69,32802,0.000350513521650899,4.621928969803046,0.009782075255537427,False,False,True,False
2023-01-04,B,94.34,19576,0.021561071307983664,4.55744944977668,0.012726824268648986,False,True,False,False
2023-01-05,A,97.88,18894,-6.605737982308749e-05,4.59390699370938,0.010168247938954572,True,False,False,False
2023-01-06,D,104.46,23210,0.0003851233547894036,4.658331734102323,0.012771730820034185,False,False,False,True
2023-01-07,C,112.34,51446,-0.010680586664440155,4.730392150741473,0.0023100128280321456,False,False,True,False
2023-01-08,C,80.01,11269,0.0033824785873255527,4.3945726038424,0.0029164058411670765,False,False,True,False
2023-01-09,A,79.17,32368,0.0073599738882809485,4.38414938005486,7.618635722653338e-05,True,False,False,False
2023-01-10,B,122.09,8547,-0.014685170178303598,4.812915795122205,-0.0028476362024695686,False,True,False,False
2023-01-11,A,91.75,24554,-0.001500888317197684,4.529907701487544,-0.0032248385368669865,True,False,False,False
2023-01-12,D,71.66,48413,-0.011201977321142274,4.2857910267930555,-0.0033291166682074104,False,False,False,True
2023-01-13,B,108.88,28122,0.046993281392296776,4.699388861227073,0.005393043892786834,False,True,False,False
2023-01-14,C,109.27,23988,-0.0007946153982323707,4.702931903770587,0.003762126035484171,False,False,True,False
2023-01-15,B,69.39,16643,0.03190464303393119,4.25405120762004,0.013080088677931128,False,True,False,False
2023-01-16,A,104.59,22371,-0.002912446616153766,4.659563669818423,0.012797777018139911,True,False,False,False
2023-01-17,B,114.71,19418,0.00618575283069816,4.7510870608882465,0.016275323048508,False,True,False,False
2023-01-18,A,107.49,14868,-0.025427281432905385,4.686658002834359,0.0017912104834675667,True,False,False,False
2023-01-19,C,112.64,19054,-0.007941451837357293,4.733035556985987,0.00036184319564258225,False,False,True,False
2023-01-20,B,71.91,24323,0.005210693415784935,4.289225803818339,-0.004976946727986669,False,True,False,False
2023-01-21,C,106.62,15008,0.03272007661919733,4.678606504061274,0.0021495579190835513,False,False,True,False
2023-01-22,A,93.95,14718,0.005439655553525423,4.553350437258295,0.002000338463649004,True,False,False,False
2023-01-23,D,90.34,11157,0.028674407223859985,4.514588807756853,0.012820676195002078,False,False,False,True
2023-01-24,C,117.41,26778,0.013814582204058404,4.774153178342865,0.017171883003285215,False,False,True,False
2023-01-25,C,129.59,28930,0.033548026789293715,4.872062644232316,0.022839349677986974,False,False,True,False
2023-01-26,A,135.89,24731,-0.0001808443461011086,4.919177683607421,0.016259165484927285,True,False,False,False
2023-01-27,B,126.3,35688,0.048804454213036086,4.846546505563361,0.02493212521682942,False,True,False,False
2023-01-28,A,97.81,23015,-0.008707924058282461,4.593198814206872,0.017455658960400928,True,False,False,False
2023-01-29,A,107.05,26795,-0.014329236683953379,4.682594082952895,0.011826895182798572,True,False,False,False
2023-01-30,B,,25640,-0.023201056993780684,,0.0004770784261836941,False,True,False,False
2023-01-31,C,102.42,21041,0.047620493431161405,4.638798366968075,0.010037345981636196,False,False,True,False
2023-02-01,D,102.62,16891,0.017388951452357953,4.640730361386642,0.0037542454295005695,False,False,False,True
2023-02-02,A,116.48,66641,-0.005682414667606169,4.766268106330419,0.004359347307635828,True,False,False,False
2023-02-03,A,98.81,17571,0.0259804539374699,4.603268378698495,0.012421285431920484,True,False,False,False
2023-02-04,B,85.41,15788,0.014753843702355638,4.4591034098533076,0.02001226557114775,False,True,False,False
2023-02-05,A,91.71,27364,0.04032254942751181,4.529476341618891,0.01855267677041783,True,False,False,False
2023-02-06,A,112.68,24982,-0.029956656654798228,4.733387483788845,0.009083555148986594,True,False,False,False
2023-02-07,B,100.06,10911,-0.004307202166285091,4.615714399863762,0.00935859764925081,False,True,False,False
2023-02-08,A,106.8,38612,-0.00825042767885651,4.680277658474897,0.002512421325985528,True,False,False,False
2023-02-09,B,113.4,21013,-0.03847365352817203,4.739701078945697,-0.008133078120120006,False,True,False,False
2023-02-10,B,92.5,12638,0.022206544095593885,4.537961436294641,-0.01175627918650359,False,True,False,False
2023-02-11,C,115.12,39910,-0.004407931116067168,4.754624139156429,-0.00664653407875738,False,False,True,False
2023-02-12,C,107.58,30116,0.015792624099731246,4.687487228477305,-0.0026265688255541113,False,False,True,False
2023-02-13,A,75.3,11704,0.048195438686592235,4.334672938290411,0.008662604447535638,True,False,False,False
2023-02-14,C,128.85,53561,-0.006064873836552166,4.866379938108757,0.015144360385859612,False,False,True,False
2023-02-15,C,89.99,30619,-0.007423059653143104,4.5107496103686,0.009218439636112212,False,False,True,False
2023-02-16,A,66.9,21914,0.0033732833944799204,4.21803603456465,0.010774682538221631,True,False,False,False
2023-02-17,A,79.1,48781,0.020744947059668194,4.383275854074314,0.011765147130209019,True,False,False,False
2023-02-18,B,79.58,23852,-0.010334260506202998,4.389250479763201,5.9207291649973626e-05,False,True,False,False
2023-02-19,A,101.04,21719,-0.011619231942642614,4.625364893273611,-0.001051664329568116,True,False,False,False
2023-02-20,A,94.52,15832,0.02214378540482732,4.559335649644292,0.004861704682025969,True,False,False,False
2023-02-21,A,93.26,29464,0.008572786476760711,4.546056921495585,0.005901605298482128,True,False,False,False
2023-02-22,C,112.39,27953,-0.039894565260096417,4.730833203983749,-0.006226297165470794,False,False,True,False
2023-02-23,B,106.8,22188,-0.023507835989382164,4.680277658474897,-0.008861012262106626,False,True,False,False
2023-02-24,C,106.32,14838,0.031024717276544208,4.675815025557423,-0.00033222241826926375,False,False,True,False
2023-02-25,C,108.2,23504,0.00903856566157625,4.693181063310805,-0.002953266366919477,False,False,True,False
2023-02-26,B,112.32,21271,-0.014243918620744981,4.730215674962316,-0.007516607386420615,False,True,False,False
2023-02-27,B,57.84,11307,-0.0024081931446996428,4.074821895733237,-1.9332963341261045e-05,False,True,False,False
2023-02-28,A,92.71,10552,0.001264733456033404,4.540204907135732,0.004935180925741852,True,False,False,False
2023-03-01,A,56.4,29219,0.015714667205603276,4.050044303325521,0.0018731709115536656,True,False,False,False
2023-03-02,B,100.72,5997,-0.026165267897175788,4.622223940553919,-0.005167595800196742,False,True,False,False
2023-03-03,B,99.91,24408,-0.015818982773409162,4.614229030476437,-0.005482608630729578,False,True,False,False
2023-03-04,B,120.91,17343,0.006459115097267777,4.803283067577055,-0.0037091469823360935,False,True,False,False
2023-03-05,C,123.75,42366,-0.0009966916099090066,4.826311734631628,-0.004161431995524577,False,False,True,False
2023-03-06,B,104.06,17210,0.012437183652734198,4.654531615525816,-0.004816928706098393,False,True,False,False
2023-03-07,B,89.99,30630,-0.023590147947191956,4.5107496103686,-0.004301904716101626,False,True,False,False
2023-03-08,B,109.7,18061,0.008142573525426421,4.706823839714591,0.0004904065436654905,False,True,False,False
2023-03-09,A,89.44,23315,0.022831672387549445,4.504686647409769,0.0037649180017218244,True,False,False,False
2023-03-10,A,99.97,31838,0.010736370942985667,4.614823443016229,0.006111530512300759,True,False,False,False
2023-03-11,B,119.72,17478,0.0037822347952318376,4.793473814459594,0.004380540740800286,False,True,False,False
2023-03-12,A,88.84,36253,-0.0009176720513194177,4.498030310430188,0.008915035919974796,True,False,False,False
2023-03-13,B,116.11,13401,-0.015697023055430036,4.763113664054046,0.004147116603803502,False,True,False,False
2023-03-14,C,113.55,25522,-0.0004399718487957695,4.741011408899505,-0.0005072122434655405,False,False,True,False
2023-03-15,A,80.9,34937,0.02619411705760812,4.405498990859024,0.0025843369794589497,True,False,False,False
2023-03-16,A,119.48,30638,-0.0013805701320025046,4.791483764051583,0.0015517759940120812,True,False,False,False
2023-03-17,A,113.97,57424,-0.0167960797869682,4.744671224765649,-0.0016239055531176755,True,False,False,False
2023-03-18,A,102.04,15037,-0.008844941775307726,4.635117262356044,-0.0002534892970932134,True,False,False,False
2023-03-19,B,84.75,11052,0.005017005945518603,4.45143608604605,0.0008379062617696612,False,True,False,False
2023-03-20,B,82.82,13397,-0.006470279943616939,4.4286716424969255,-0.00569497313847535,False,True,False,False
2023-03-21,C,89.25,30644,0.010706065661262813,4.502583597212991,-0.003277645979822287,False,False,True,False
2023-03-22,B,110.85,28253,0.011456875214980608,4.717158687936139,0.0023729450205674744,False,True,False,False
2023-03-23,B,80.89,23181,0.018779663608092963,4.405376883282097,0.007897866097247613,False,True,False,False
2023-03-24,C,108.75,12563,0.02947118944530066,4.698205051955281,0.012788702797204024,False,False,True,False
2023-03-25,A,75.16,32319,0.020917174487447218,4.33283639048311,0.018266193683416858,True,False,False,False
2023-03-26,A,95.92,11939,-0.017684781282959198,4.573885895948325,0.012588024294572453,True,False,False,False
2023-03-27,A,102.19,39319,-0.017070688931525444,4.636571949127623,0.006882511465271243,True,False,False,False
2023-03-28,C,148.9,91924,-0.0005154295291964885,5.009968405108552,0.003023492837813352,False,False,True,False
2023-03-29,B,72.45,26455,-0.008023507144788292,4.296604902619887,-0.004475446480204438,False,True,False,False
2023-03-30,A,129.44,29482,-0.021766534539218854,4.870913350921119,-0.013012188285537652,True,False,False,False
2023-03-31,B,103.0,17215,-0.007833835883459886,4.6443908991413725,-0.011041999205637792,False,True,False,False
2023-04-01,A,108.22,8909,-0.00849025867238078,4.693364196724008,-0.009325913153808856,True,False,False,False
2023-04-02,B,102.37,16295,-0.012436954795224116,4.638314784580394,-0.011710218207014383,False,True,False,False
2023-04-03,B,108.89,12753,-0.005315789723100112,4.699479865458833,-0.011168674722676747,False,True,False,False
2023-04-04,A,96.93,10683,0.024569017006366625,4.584252937732703,-0.001901564413559651,True,False,False,False
